2024-01-31 16:38:42.604
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and (LL References removed)'
**********
2024-01-31 17:44:48.570,103,30.837080 mV
2024-01-31 17:44:49.237,104,-1.362600 mV
2024-01-31 17:44:49.905,105,20.002620 mV
2024-01-31 17:44:50.572,106,9.174670 mV
2024-01-31 17:44:51.239,107,11.682620 mV
2024-01-31 17:44:51.915,108,22.254000 C
2024-01-31 17:44:52.592,109,8.400050 mV
2024-01-31 17:44:53.259,110,25.873140 mV
2024-01-31 17:44:53.926,111,17.664350 mV
2024-01-31 17:46:47.235,101,13.480810 mV
2024-01-31 17:46:47.903,102,18.734280 mV
2024-01-31 17:46:48.570,103,30.836630 mV
2024-01-31 17:46:49.237,104,-1.354180 mV
2024-01-31 17:46:49.905,105,20.010850 mV
2024-01-31 17:46:50.572,106,9.183290 mV
2024-01-31 17:46:51.239,107,11.694000 mV
2024-01-31 17:46:51.915,108,22.248000 C
2024-01-31 17:46:52.592,109,8.410080 mV
2024-01-31 17:46:53.259,110,25.881750 mV
2024-01-31 17:46:53.927,111,17.673160 mV
2024-01-31 17:48:47.235,101,13.488590 mV
2024-01-31 17:48:47.903,102,18.743340 mV
2024-01-31 17:48:48.570,103,30.828210 mV
2024-01-31 17:48:49.237,104,-1.346080 mV
2024-01-31 17:48:49.905,105,20.019010 mV
2024-01-31 17:48:50.572,106,9.198590 mV
2024-01-31 17:48:51.239,107,11.704030 mV
2024-01-31 17:48:51.915,108,22.241000 C
2024-01-31 17:48:52.592,109,8.420940 mV
2024-01-31 17:48:53.259,110,25.888310 mV
2024-01-31 17:48:53.927,111,17.680610 mV
2024-01-31 17:50:47.235,101,13.494700 mV
2024-01-31 17:50:47.903,102,18.749900 mV
2024-01-31 17:50:48.570,103,30.843190 mV
2024-01-31 17:50:49.237,104,-1.338870 mV
2024-01-31 17:50:49.905,105,20.026470 mV
2024-01-31 17:50:50.572,106,9.204890 mV
2024-01-31 17:50:51.239,107,11.713930 mV
2024-01-31 17:50:51.915,108,22.236000 C
2024-01-31 17:50:52.592,109,8.429950 mV
2024-01-31 17:50:53.259,110,25.895450 mV
2024-01-31 17:50:53.927,111,17.688460 mV
2024-01-31 17:52:47.235,101,13.501320 mV
2024-01-31 17:52:47.903,102,18.760440 mV
2024-01-31 17:52:48.570,103,30.852510 mV
2024-01-31 17:52:49.237,104,-1.332380 mV
2024-01-31 17:52:49.905,105,20.033100 mV
2024-01-31 17:52:50.572,106,9.207980 mV
2024-01-31 17:52:51.239,107,11.721840 mV
2024-01-31 17:52:51.915,108,22.231000 C
2024-01-31 17:52:52.592,109,8.441900 mV
2024-01-31 17:52:53.259,110,25.900910 mV
2024-01-31 17:52:53.927,111,17.694890 mV
2024-01-31 17:54:47.235,101,13.505630 mV
2024-01-31 17:54:47.903,102,18.765270 mV
2024-01-31 17:54:48.570,103,30.851290 mV
2024-01-31 17:54:49.237,104,-1.326400 mV
2024-01-31 17:54:49.905,105,20.039330 mV
2024-01-31 17:54:50.572,106,9.219610 mV
2024-01-31 17:54:51.239,107,11.730520 mV
2024-01-31 17:54:51.915,108,22.227000 C
2024-01-31 17:54:52.592,109,8.448010 mV
2024-01-31 17:54:53.259,110,25.906250 mV
2024-01-31 17:54:53.926,111,17.700540 mV
2024-01-31 17:56:47.235,101,13.511350 mV
2024-01-31 17:56:47.903,102,18.772720 mV
2024-01-31 17:56:48.570,103,30.854570 mV
2024-01-31 17:56:49.237,104,-1.321000 mV
2024-01-31 17:56:49.904,105,20.044280 mV
2024-01-31 17:56:50.572,106,9.225720 mV
2024-01-31 17:56:51.239,107,11.737650 mV
